[00:00] 指はもうたぶん折れまくってます
[09:29] 握れなくても出るんですね
[09:31] 数字は
[09:33] まだ指が増しな時は90kgぐらい
[09:35] 握力はここが主役なんで
[09:37] ここさえ握れれば出るんですよね
[09:39] そうなんですね
[09:41] ここが主役です
[09:43] 主役たちがちょっと弱ってきました
[09:45] でももう
[09:47] 今はフラッグの方で
[09:49] ポールが大きいので
[09:51] あまり僕は問題とはしてないんですけど
[09:53] 細かいものを掴むということができないんです
[09:55] 自動販売機だから
[09:57] 小銭を出すとかっていう作業になると
[09:59] 絶対落ちてしまう
[10:01] じゃあ木下さんが
[10:03] 自販機で何か買ってるの見かけたら
[10:05] スライディングでこうやって
[10:07] 間違いなく落ちてます
[10:09] 視聴者皆さんもし見かけたら
[10:11] ぜひ狙ってください
[10:13] ケガの大変なスポーツでありますけども
[10:15] 夢のある
[10:17] どれだけ素敵なスポーツかっていうのは
[10:19] そうですねアメリカンフットボールのいいところ
[10:21] 僕も長いことやって
[10:23] 35年くらいやったんですけど
[10:25] いいところって言われると本当難しくて
[10:27] もう全てがいいっていうのは
[10:29] 一つです
[10:31] 最高の褒め言葉ですね
[10:33] アメリカンフットボールとは何かって言われても
[10:35] 自分を形成した全てがアメリカンフットボールだと思って
[10:37] ずっとやってきたので
[10:39] チームスポーツっていうところと
[10:41] 誰か一人が活躍できるスポーツではない
[10:43] っていうのがアメリカンフットボールの
[10:45] 一つの魅力ですかね
[10:47] みんなが仕事をしっかり抜刀して
[10:49] 得点を稼ぐとか
[10:51] 相手を止めるとかっていうことが
[10:53] チーム一人一人にすごく
[10:55] 仕事があって責任があって
[10:57] 戦うスポーツっていうのがアメリカンフットボールじゃない
[10:59] 私ちょっと間違えたんですけど
[11:01] アイシールド21ってあれアメフトボール
[11:03] あれアメリカンフットボール
[11:05] アイシールド21って
[11:07] 人気の漫画があるんですよ
[11:09] アメフトを題材にしてるんで
[11:11] おそらくあの漫画でアメフトに興味を持った方も
[11:13] すごく多かったですね
[11:15] あの当時本当に
[11:17] 僕は一応大人だったんですけど
[11:19] 何どもたちが読もうとかっていうので
[11:21] ずっと見るようにしてましたね
[11:23] 改めて視聴者みなさんも
[11:25] アイシールド21ね読んでみていただいて
[11:27] なんでアメフト始めようと思ったんですか
[11:29] 僕は大阪府池田市の方に
[11:31] アメリカンフットボールチームを
[11:33] 青年育成事業みたいな立ち上げるってなった時に
[11:35] 父の父親のつながりとか
[11:37] っていうので子供を集めろ
[11:39] っていうところからスタートで
[11:41] 兄が2人いるんですけど
[11:43] 子供を集めろっていう時に
[11:45] 兄が一番最初アメリカンフットボールを始めたんです
[11:47] そこに僕はまだ幼稚園くらいだったんですけど
[11:49] ずっとお兄ちゃんの背中を追いかけて
[11:51] 兄みたいになりたいっていうところからスタートですね
[11:53] アメリカンフットボール
[11:55] それから始まり
[11:57] レジェンドまで
[11:59] 格好いいですね漫画になる人も
[12:01] ちょうど私先生が
[12:03] きなしさんにお越しいただきました
[12:05] 後でよろしくお願いしますって
[12:07] いつもの先生メガネ
[12:09] このスカウターを
[12:11] してる時にスキャンされてる場所が
[12:13] 私的には星あたりなのか
[12:15] この肩あたりを2つ見て
[12:17] めちゃくちゃ見えますね
[12:19] あれ今日そこなの?って思って
[12:21] 明日見てないんだ先生こうやって
[12:23] 先生見張るんですよ
[12:25] 今回は前腕の発達具合とか
[12:27] 筋肉の付き方を
[12:29] どっちかっていうとちょっと見てて
[12:31] 先見てたんですね
[12:33] 先生上見てあるんだそこ悪いのか
[12:35] 何見てるんだろうって思ってて
[12:37] この専門的な目線で
[12:39] お会いする前でお会いしてから
[12:41] 結構チェックしてるんですよね
[12:43] ありがとうございます
[12:45] 先生のスキャンもありますけれども
[12:47] 早速施術の方に映っていきたいと思います
[12:49] ではレッツゴー
[12:55] まずはチェックというところで
[12:57] 足首の状態が悪いと
[12:59] 全体的に重心が崩れてしまって
[13:01] 上半身の力まで全て
[13:03] 連動して力が発揮できなくなる
[13:05] ダイナペニアって言うんですけども
[13:07] その状況が起きていると
[13:09] せっかく今現役で頑張られてるのに
[13:11] トレーニングしても筋力が
[13:13] 発揮できない状態になっちゃうんですよ
[13:15] おかしいなと思って一生懸命やってるのに
[13:17] なかなかパワーマンス上がらないなって言って
[13:19] 筋出力を上げすぎて怪我するパターンですね
[13:21] そういう風にならないように
[13:23] どのくらい力が入る状態なのかと
[13:25] 一応見たてでは
[13:27] 左半身の力が入りづらくなってるはずなんですよ
[13:29] まず左足を一本前に出して
[13:31] 右手ですね
[13:33] 左半身、右半身と左半身の
[13:35] 全部の筋肉が喫香する
[13:37] 例えば1箇所こうやって重心を
[13:39] ずらされると戻そうとする力が
[13:41] ちゃんと配らないと
[13:43] こうやってぐらついちゃうんじゃないですか
[13:45] これを喫香っていうんですね
[13:47] この喫香が働いてるかどうかをチェックするテストです
[13:49] まずは手を乗せますんで
[13:51] グッと押しますから
[13:53] 下がらないようにこの位置を支えてもらっていいですか
[13:55] 下がるわけがないですよね
[13:57] 腕見てください
[13:59] アスミリさんの足ぐらい
[14:01] そういう感じですよ
[14:03] 右足を出して
[14:05] 結構左使うんですか
[14:07] 左利きですよね
[14:09] 私ずっとさっきからこっち見てたのは
[14:11] 左の前腕の発達具合が半端じゃないんで
[14:13] 左利きか、アメ太って左が
[14:15] 基本になるのかってずっとそれを見てたんですね
[14:17] このムキムキアーム
[14:19] ムキムキアーム
[14:21] このムキムキアームに
[14:23] このモチモチアームが勝ちますから
[14:25] モチバーサスムキですよ
[14:27] モチ対ムキ
[14:29] これが歴史的勝利を収めますので
[14:31] やらせなしチャンネルなんで
[14:33] 耐えれたらいいです
[14:35] お蔵入りです
[14:37] お蔵入りにするんかい
[14:39] どうぞ
[14:41] ムキさん
[14:43] モチちゃんに負けちゃダメです
[14:45] 上がらないです
[14:47] 上がらないですよね
[14:49] これに一番近い男ですよ先生
[14:51] もう一回いいですか
[14:53] これちなみに私垂直に下げてるんですよ
[14:55] 垂直に下げて
[14:57] こういうのを応用してるのが
[14:59] 柔道の崩しであったり
[15:01] 小武術だったりってするんですよね
[15:03] こういうのを応用した使い方は
[15:05] おそらく知らない人にされてると思うんですよ
[15:07] なぜなら
[15:09] フィジカルでガチンってぶつかっちゃうと
[15:11] 負けてしまうんで
[15:13] 体の稲し方とか使い方でされてるので
[15:15] 腰ってちなみに痛めてないんですか
[15:17] 腰はそんなに痛くなることありますけど
[15:19] ヒルニアイナッツ
[15:21] ヒルニアイナッツ
[15:23] ヒルニアイナッツ
[15:25] 痛くなることありますけど
[15:27] ヒルニアイナッツとかそういうのはないです
[15:29] これがすごいんですよみなさん
[15:31] これだけハードにされてる方って
[15:33] ほぼ全員腰痛めてるんですよ
[15:35] なんで他のところは重症なのに
[15:37] 腰こないかっていうと
[15:39] 体の使い方回転が上手で
[15:41] いなせてるんだと思うんですよね
[15:43] そういう意味ではスポーツIQの非常に高い方
[15:45] でもスポーツIQが高くても
[15:47] フィジカルがあっても
[15:49] 全てを台無しするのが関節であり
[15:51] 足首なんです
[15:53] これを修正していく必要があります
[15:55] ちなみに関節って
[15:57] 悪いとか意識されたりとか
[15:59] あります?
[16:01] 意識は特にないですかね
[16:03] ですけども体がすごく硬いです
[16:05] 宮崎さんも硬かったんですけど
[16:07] 全員屈とかしてる
[16:09] 宮崎さん歩きはマシですわら
[16:11] なかなか見えます
[16:13] 横から撮ってほしいです
[16:15] 大小動作お尻を後ろに出して
[16:17] 本来は全屈って
[16:19] この位置なんですよね
[16:21] この位置なんですけど
[16:23] 可愛い絵ですね
[16:25] 視聴者皆さん
[16:27] お気づきの通りなんですけど
[16:29] 体が硬いっていうのは
[16:31] 筋肉が硬いってすぐ思っちゃうんですよね
[16:33] 関節が硬い
[16:35] 関節の可動域がなくても
[16:37] 結局曲がらないんですよ
[16:39] 筋肉はプニプニで正常に伸びちみできるのに
[16:41] 関節が動かないだけで
[16:43] 本来の柔軟性で出ないんですよね
[16:45] どっちのケースなのか
[16:47] あるいは両方なのか
[16:49] これか
[16:51] 上からズイナイティ入れてるんですよ
[16:53] 膝ここに毛が当てしてたんで
[16:55] ここから入れなかった
[16:57] 回線ができないですもんね
[16:59] 変な軸で固定されてて
[17:01] 先生チェック中
[17:03] 先生チェック中
[17:05] かなり入念ですね
[17:07] なるほど
[17:09] これもう撮る予定はないんですか
[17:11] そうですね
[17:13] 一旦もう撮る予定はないですかね
[17:15] これがデフォルトで
[17:17] ここからパワーマンスをいかに上げるかってことですね
[17:19] そうですね
[17:21] 両足首ともに
[17:23] フットボールズアンクルみたいな感じで
[17:25] 潤滑油がないみたいな
[17:27] 軟骨がないみたいなことを
[17:29] 平均の時にはよく言ってます
[17:31] まさにズイナイティの影響もありますけど
[17:33] 可動域が全然ないんですよね
[17:35] でも
[17:37] いかに可動域訓練をするか
[17:39] 例えば足首の可動域訓練として
[17:41] 体重を掛けて
[17:43] こういう形で
[17:45] 少しずつ動かしていただく
[17:47] 関節はカツ膜っていう膜がありまして
[17:49] この膜を刺激することで
[17:51] 中から潤滑油が出てきて
[17:53] 関節自体の滑りもよくなる
[17:55] 修復する要は
[17:57] 修理業者もその中に入ってるんですよね
[17:59] トレーニングも大事なんですけど
[18:01] 可動域訓練をして
[18:03] いかに潤滑油を出して関節の修復を
[18:05] 促すかっていうのも大事だと思います
[18:07] とにかく関節が固定されすぎてるんで
[18:09] 私がやらないといけないの
[18:11] 位置を戻すのと
[18:13] 固まってるんで
[18:15] 結局は向きを戻さないと
[18:17] 浮き指って状態になっちゃって
[18:19] 浮き指の状態って何が問題かというと
[18:21] 地面を掴むために
[18:23] 親指を酷使しないといけなくなる
[18:25] この状態で足を作ると
[18:27] 練座するじゃないですか
[18:29] こういうふうに扁平足みたいな
[18:31] 力を使うしかないんですよね
[18:33] そうするとこの状況で
[18:35] 上げようとしても上がらない
[18:37] 結局は超都会なんで
[18:39] こうねじれてると上がらないし
[18:41] 上げる動きが
[18:43] それを修正していこうと思います
[18:45] これ膝は全然曲がるんですか?
[18:47] 膝は大丈夫です
[18:49] こっちも脱臼構成してるんですね
[18:51] ちょっとこっちはこっちを見せてくださいね
[18:53] 随内で入れると何か変わるんですか?
[18:55] パイプが骨の中に通されて
[18:57] ここからここまでパイプが入ってる状態のままです
[18:59] それで固定されちゃってるんで
[19:01] パイプが動かせないとしても
[19:03] パイプの周りをどう回転していくか
[19:05] こっちはこっちで
[19:07] やっぱり骨が出ちゃってますね
[19:09] 骨みたいなのは結構
[19:11] どんなところ?
[19:15] こっちは単純な
[19:17] 今まで視聴者さんが見たような
[19:19] ズレですね
[19:21] まずここがズレていて
[19:23] こういう感じになってて
[19:25] ここが詰まっている
[19:27] こういう状態になるんで
[19:29] 足つくとき入れてってなることないですか?
[19:31] あります
[19:33] 朝はだいたい
[19:35] これ詰まってるかと思いますよ
[19:37] これを衝突しないうちに
[19:39] これも持っていかないといけなくて
[19:41] 一般的なやり方で
[19:43] こっちは戻せると思います
[19:45] 問題はこっちが道具で固定されちゃってるんで
[19:47] 固定されてるところは動かしようがないですから
[19:49] 道具の影響で
[19:51] ねじりが加わってるんで
[19:53] これをねじりはいかに修正するかですね
[19:55] やり方が両足で変わります
[19:57] まずは一般的な
[19:59] 修正をしようと思います
[20:01] まずこれですね
[20:03] 結局これを
[20:05] こういう感情が脳に伝わると
[20:07] こっちで変わるようになるんですよ
[20:09] 右膝を壊しちゃうので
[20:11] でも雨太ってスポーツを考えた時に
[20:13] だいぶきれいな方だと思います
[20:15] ありがとうございます
[20:17] もっともっと
[20:19] 完全に膝も人工とかの方もいますよね
[20:21] そういう意味では
[20:23] やっぱすごい体の使い方が上手なんだ
[20:25] ちなみに木の人さん
[20:27] 今押されて痛くないんですか?
[20:29] 痛くはないです
[20:31] あとここなんかは響きやすいと思います
[20:33] これを修正していきますね
[20:35] これ覚えてくださいね
[20:37] どうでしょうか
[20:39] なくなりました
[20:41] ここのところ詰まってるのは
[20:43] 関節ごと回転してるんで
[20:45] こう持ってこないといけないですね
[20:53] 今メシって聞こえましたか?
[20:55] すっごく食い込んでたのが取れました
[20:57] あとここですね
[20:59] これはちょっと聞こえやすいです
[21:03] 痛かったですか?
[21:05] これどうですか?
[21:07] もう先ほどの感じはなくなりました
[21:09] これで関節の位置が揃って
[21:11] 詰まりが取れた状態です
[21:13] あとはモビライゼーションって言って
[21:15] 関節の稼働域訓練をしてあげないといけない
[21:17] 聞いてくださいね
[21:19] 聞こえました
[21:21] ここの関節の位置もこういう風になっちゃってて
[21:23] 教科書通りのリスクラン関節
[21:25] 指が詰まっている
[21:27] きっと皆さんも分かってますよ
[21:29] うちの視聴者さんも
[21:31] これを戻してあげないと
[21:33] 指の力が発揮できなくなる
[21:35] 伸ばしたりとか
[21:37] これでこっちは正常になりました
[21:39] 問題はこっちですよ
[21:41] しっかりと輸着で固定されているエリアが
[21:43] 激すそうなので
[21:45] 仰向けで見ていきたいと思います
[21:47] でもゲストさんって初めてから
[21:49] 金属入ったままいらっしゃった方
[21:51] 本当ですか?
[21:53] 金属、ボルト入ってますって
[21:55] 宮崎さん言ってた気がする
[21:57] ボルトも何本か入ってます
[21:59] ボルトも入りの
[22:01] パイプも入りの
[22:03] だからサイボーグみたいな状態ってことですよね
[22:07] 半分ロボットみたいな
[22:09] でも逆にこの状態でも
[22:11] パフォーマンスが上がるんだったら
[22:13] 本当にいい例というか
[22:15] 皆さんに希望を与えられるので
[22:17] ちょっとやっていこうと思います
[22:19] この可動域をつけないといけないので
[22:21] 可動域はここの影響もそうなんですけど
[22:23] アキレス県側の可動域もないと
[22:25] 結局は滑車で動いているので
[22:27] ここだけではなくて
[22:29] 後ほどアキレス県前に入着
[22:31] これも取らないといけないです
[22:33] まずは足首を動かして
[22:35] 隙間を広げます
[22:37] 聞こえましたか?
[22:39] 隙間を広げました
[22:41] 次にここのところ
[22:43] 私のマイクを取りますね
[22:45] こうなってます
[22:47] 痛いですか?
[22:49] 大丈夫です
[22:51] 取りますよ
[22:53] 取れましたね
[22:55] 取れましたね
[22:57] 次にここのところですね
[22:59] ちょうどここの関節のところで
[23:01] 上に上げるための剣ですね
[23:03] これが輸着してるんですよ
[23:05] ゴリゴリしてるの
[23:07] 取りますね
[23:09] 逆感的に見てるんですけど
[23:11] あっちこっちで
[23:13] 今までで一番大きい音が
[23:15] ここに座ってても聞こえるんですか?
[23:17] 輸着をリリースした音なんですね
[23:19] はめたというよりは
[23:21] 折れて不安定な状態なので
[23:23] ここは輸着して
[23:25] 安定感をまずは得ないと
[23:27] 足がつけないんですよ
[23:29] ですから稼動域を犠牲に
[23:31] 安定感を得てる状態なので
[23:33] 今はもう安定してますから
[23:35] 骨自体が付いて
[23:37] 金属のおかげで安定してるんで
[23:39] 稼動域をいかに戻すか
[23:41] というのが大事になってきます
[23:43] そのためには周りが輸着してると
[23:45] ここでくさびが打たれちゃって
[23:47] 動かないですよね
[23:49] 引き続き稼動域をつけますよ
[23:51] ちょっと待ってくださいね
[23:55] ここの稼動域を広げます
[23:59] 不安感ないですか?
[24:01] 全然ないです
[24:03] ちょっとかかとが
[24:05] 左かかとのこの辺に
[24:07] ここ来ますよね
[24:09] これなんでかというと
[24:11] こういうラインで詰まってるんですよ
[24:13] なのでここの詰まってるところに
[24:15] 刺激がいくんで
[24:17] ちょっと嫌な感じするんですね
[24:19] 稼動が良くなる
[24:21] 痛みにだけは強い自信あるんで
[24:23] 確か今までまだ
[24:25] 一回も痛いとかないですね
[24:27] 全然まだ大丈夫
[24:29] 手間に履いていいんですか?
[24:31] ここ強がる場所じゃないんですよ
[24:33] 全然ないです
[24:35] 感じないですよね
[24:37] 中地さんか木下さんか
[24:41] 中島さんもやばかったですね
[24:43] しかもめっちゃ笑顔だった
[24:45] いろんなずりぬの方来ていただきますね
[24:47] ここの関節
[24:49] 居骨か関節って言いますか?
[24:53] 聞こえました?
[24:55] ちょっと動かしてみますね
[24:57] ここの不安感を確認してください
[24:59] どうですか?
[25:01] ちょっとマシになってますね
[25:03] 今ここの関節の位置を戻しました
[25:05] ここのかかとの関節が
[25:07] こっち側に位置がずれることで
[25:09] ここでくっついてくさびが打たれる
[25:11] そうするとこういう動きが
[25:13] 全部邪魔されるんですよね
[25:15] ここを戻しました
[25:17] ここの輸着を取ったのは
[25:19] ここの関節は少しパカッと開いて
[25:21] 足首が上がるスペースを
[25:23] 加工する場所なんですよ
[25:25] ここが輸着されていると
[25:27] これがツッカエボになっちゃって
[25:29] ここの足首関節衝突して
[25:31] 上げられなくなっちゃって
[25:33] 踏み込んだ時にこれが今度開くようになるので
[25:35] 動きやすくなります
[25:37] ここに至ってはこのエリアだけではなくて
[25:39] ちょっとしびれるとしちゃった
[25:41] こっちでトリラーポイント
[25:43] 止むような症状が起きやすいです
[25:45] 特に今こういうねじれが
[25:47] 天然で加わっているので
[25:49] 筋膜をこうねじれた状態になっちゃうんですね
[25:51] なので逆ねじれみたいな形にして
[25:53] この輸着を取ってあげないといけないですね
[25:55] 中の方で
[25:57] ここのところがまず関節なんですね
[25:59] ここの関節の動きも
[26:01] まず邪魔されているのが一つ
[26:03] そしてこの指位置に
[26:05] このあたりにしびれるポイントがあるんですね
[26:07] これどうですか
[26:09] 奥に押されて
[26:11] 今は大丈夫です
[26:13] 触っている感じだと
[26:15] この奥にありそうなんですね
[26:17] ちょっとこれを少し輸着を取ります
[26:19] 響いてくるかもしれないので
[26:21] 不快だったら教えてください
[26:23] ちょっと慎重に
[26:25] いきなり感じるとめちゃくちゃ痛いんで
[26:27] これでも一般的な方は
[26:29] 飛び上がります
[26:31] 大丈夫です
[26:33] 何も感じないくらいなんですか
[26:35] 痛いけど全然我慢できない
[26:37] 痛くはないですね
[26:39] 今ちょっとようやく
[26:41] この指の先に
[26:43] 響きますよね
[26:45] 私が圧迫されている神経のところを
[26:47] 押さえているので響いてくるんです
[26:49] そんなに圧迫されているのか
[26:51] 鉄のように固くなっちゃってて
[26:53] その固くなった筋膜に
[26:55] 中で神経潰されています
[26:57] それこそ疲れてくると
[26:59] 走るのとかもしんどいから
